source,role_search,title,company,experience,salary,salary_min,salary_max,salary_avg,location,skills_raw,description,posted_date,company_rating,job_url,scraped_at,exp_years,salary_tier,role,level,city,work_mode,skills,skill_count,has_salary
Naukri,data analyst,Data Analyst - (Immediate Joiners preferred),Capita,1-5 Yrs,,,,,"Hybrid - Pune, Mumbai (All Areas)",Power Bi | Advanced Excel | Machine Learning | Python | R | Data Visualization | Tableau | Data analysis,,1 day ago,3.5,https://www.naukri.com/job-listings-data-analyst-immediate-joiners-preferred-capita-pune-mumbai-all-areas-1-to-5-years-140526016202,2026-06-04T15:46:40.688202,1.0,Not Disclosed,Data Analyst,Fresher/Junior,Mumbai,Hybrid,"['python', 'excel', 'tableau', 'power bi', 'machine learning']",5,0
Naukri,data analyst,Data Analyst,Capgemini,4-9 Yrs,,,,,"Hybrid - Chennai, Delhi / NCR, Mumbai (All Areas)",Power Bi | Data Analysis | Data Visualization | Tableau | Data Analytics | SQL | Analytics | Analysis,,1 week ago,3.6,https://www.naukri.com/job-listings-data-analyst-capgemini-chennai-delhi-ncr-mumbai-all-areas-4-to-9-years-021225014173,2026-06-04T15:46:40.688621,4.0,Not Disclosed,Data Analyst,Mid-Level,Mumbai,Hybrid,"['sql', 'tableau', 'power bi']",3,0
Naukri,data analyst,Data Analyst,Sbicap Securities,,,,,,Mumbai,Data Analysis | Predictive Modeling | Statistical Modeling | Data Analytics | SQL | Python | Predictive Analytics | Predictive,,3 weeks ago,3.6,https://www.naukri.com/job-listings-data-analyst-sbicap-securities-mumbai-2-to-5-years-130426027758,2026-06-04T15:46:40.689126,,Not Disclosed,Data Analyst,Senior,Mumbai,Onsite,"['python', 'sql']",2,0
Naukri,data analyst,Data Analyst,Snapdeal,1-6 Yrs,,,,,Gurugram,master data | python | metadata | data analysis | data analytics | data management | configuration | data mining,,3+ weeks ago,3.6,https://www.naukri.com/job-listings-data-analyst-jasper-infotech-pvt-ltd-gurugram-1-to-6-years-221025507695,2026-06-04T15:46:40.689529,1.0,Not Disclosed,Data Analyst,Fresher/Junior,Gurugram,Onsite,['python'],1,0
Naukri,data analyst,Data Analyst,Tata Consultancy Services,4-8 Yrs,,,,,"Pune, Bengaluru",Data Analysis | Data Warehousing | Data Analytics | SQL | Data | Analysis | Warehouse | Analytics,,3+ weeks ago,3.3,https://www.naukri.com/job-listings-data-analyst-tata-consultancy-services-pune-bengaluru-4-to-8-years-040526032274,2026-06-04T15:46:40.689927,4.0,Not Disclosed,Data Analyst,Mid-Level,Bangalore,Onsite,['sql'],1,0
Naukri,data analyst,Data Analyst | ETL | Informatica - Hyderabad (Female candidates),Infosys,3-5 Yrs,,,,,Hyderabad,ETL | Etl Pipelines | Data Quality | Data Pipeline | Informatica | Data Warehousing | Data Modeling | Data Integration,,2 weeks ago,3.5,https://www.naukri.com/job-listings-data-analyst-etl-informatica-hyderabad-female-candidates-infosys-hyderabad-3-to-5-years-200526022268,2026-06-04T15:46:40.690371,3.0,Not Disclosed,Data Analyst,Mid-Level,Hyderabad,Onsite,"['etl', 'data pipeline']",2,0
Naukri,data analyst,"Auth Fraud Supervisor- Data Analyst, UIDAI/Bengaluru",National Institute for Smart Government (NISG),6-10 Yrs,,,,,Bengaluru,Data Analysis | Fraud Management | Python | SQL | Fraud Analytics | R | Identity fraud | Business Analysis,,1 week ago,3.5,https://www.naukri.com/job-listings-auth-fraud-supervisor-data-analyst-uidai-bengaluru-national-institute-for-smart-government-nisg-bengaluru-6-to-10-years-300126034060,2026-06-04T15:46:40.690815,6.0,Not Disclosed,Data Analyst,Senior,Bangalore,Onsite,"['python', 'sql']",2,0
Naukri,data analyst,Data Analyst - Tableau/Looker/Salesforce (Remote),Indium Software,2-5 Yrs,,,,,Remote,Reports And Dashboards | Advance Sql | Tableau | Looker | Salesforce | Data Visualization | Data | Reporting,,2 days ago,3.9,https://www.naukri.com/job-listings-data-analyst-tableau-looker-salesforce-remote-indium-software-hyderabad-2-to-5-years-020626009571,2026-06-04T15:46:40.691233,2.0,Not Disclosed,BI Analyst,Fresher/Junior,Remote,Remote,"['sql', 'tableau', 'looker']",3,0
Naukri,data analyst,Data Analyst,MNC,0-2 Yrs,,,,,"Pimpri-Chinchwad, Pune",Google Sheets | Power Bi | MS Office | SQL | Data Analytics | Large Databases | Google Data Studio | data vis,,1 day ago,,https://www.naukri.com/job-listings-data-analyst-tele-infotech-pimpri-chinchwad-pune-0-to-2-years-020626028320,2026-06-04T15:46:40.691679,0.0,Not Disclosed,Data Analyst,Fresher/Junior,Pune,Onsite,"['sql', 'power bi']",2,0
Naukri,data analyst,Data Analyst (English Required),Peroptyx,0-5 Yrs,,,,,Remote,Data Analysis | English | Data Analytics | Data Mapping | Analytics | Mapping | Analysis | Data,,1 day ago,3.2,https://www.naukri.com/job-listings-data-analyst-english-required-peroptyx-mumbai-all-areas-0-to-5-years-020626027790,2026-06-04T15:46:40.692072,0.0,Not Disclosed,Data Analyst,Fresher/Junior,Remote,Remote,[],0,0
